BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID_ID,BP_ID,COMPANY_NAME
Customer,info@acme.com,+1-555-123-4567,+1-555-123-4568,www.acme.com,addr-001,BP001,Acme Corporation
Supplier,contact@betainc.com,+1-555-234-5678,+1-555-234-5679,www.betainc.com,addr-002,BP002,Beta Inc.
Customer,sales@gammatech.com,+1-555-345-6789,+1-555-345-6790,www.gammatech.com,addr-003,BP003,Gamma Technologies
Supplier,info@deltasystems.com,+1-555-456-7890,+1-555-456-7891,www.deltasystems.com,addr-004,BP004,Delta Systems
Customer,contact@epsilonltd.com,+1-555-567-8901,+1-555-567-8902,www.epsilonltd.com,addr-005,BP005,Epsilon Ltd.
Supplier,sales@zetacorp.com,+1-555-678-9012,+1-555-678-9013,www.zetacorp.com,addr-006,BP006,Zeta Corporation
Customer,info@etaindustries.com,+1-555-789-0123,+1-555-789-0124,www.etaindustries.com,addr-007,BP007,Eta Industries
Supplier,contact@thetaservices.com,+1-555-890-1234,+1-555-890-1235,www.thetaservices.com,addr-008,BP008,Theta Services
Customer,sales@iotasolutions.com,+1-555-901-2345,+1-555-901-2346,www.iotasolutions.com,addr-009,BP009,Iota Solutions
Supplier,info@kappagroup.com,+1-555-012-3456,+1-555-012-3457,www.kappagroup.com,addr-010,BP010,Kappa Group
Customer,contact@lambdatech.com,+1-555-123-4567,+1-555-123-4568,www.lambdatech.com,addr-011,BP011,Lambda Technologies
Supplier,sales@muinc.com,+1-555-234-5678,+1-555-234-5679,www.muinc.com,addr-012,BP012,Mu Inc.
Customer,info@nusystems.com,+1-555-345-6789,+1-555-345-6790,www.nusystems.com,addr-013,BP013,Nu Systems
Supplier,contact@xicorp.com,+1-555-456-7890,+1-555-456-7891,www.xicorp.com,addr-014,BP014,Xi Corporation
Customer,sales@omicronsolutions.com,+1-555-567-8901,+1-555-567-8902,www.omicronsolutions.com,addr-015,BP015,Omicron Solutions
Supplier,info@pitech.com,+1-555-678-9012,+1-555-678-9013,www.pitech.com,addr-016,BP016,Pi Technologies
Customer,contact@rhocorp.com,+1-555-789-0123,+1-555-789-0124,www.rhocorp.com,addr-017,BP017,Rho Corporation
Supplier,sales@sigmaservices.com,+1-555-890-1234,+1-555-890-1235,www.sigmaservices.com,addr-018,BP018,Sigma Services
Customer,info@tauindustries.com,+1-555-901-2345,+1-555-901-2346,www.tauindustries.com,addr-019,BP019,Tau Industries
Supplier,contact@upsilonltd.com,+1-555-012-3456,+1-555-012-3457,www.upsilonltd.com,addr-020,BP020,Upsilon Ltd.
Customer,sales@phigroup.com,+1-555-123-4567,+1-555-123-4568,www.phigroup.com,addr-021,BP021,Phi Group
Supplier,info@chisystems.com,+1-555-234-5678,+1-555-234-5679,www.chisystems.com,addr-022,BP022,Chi Systems
Customer,contact@psitech.com,+1-555-345-6789,+1-555-345-6790,www.psitech.com,addr-023,BP023,Psi Technologies
Supplier,sales@omegacorp.com,+1-555-456-7890,+1-555-456-7891,www.omegacorp.com,addr-024,BP024,Omega Corporation
Customer,info@alphaservices.com,+1-555-567-8901,+1-555-567-8902,www.alphaservices.com,addr-025,BP025,Alpha Services
Supplier,contact@betasolutions.com,+1-555-678-9012,+1-555-678-9013,www.betasolutions.com,addr-026,BP026,Beta Solutions
Customer,sales@gammainc.com,+1-555-789-0123,+1-555-789-0124,www.gammainc.com,addr-027,BP027,Gamma Inc.
Supplier,info@deltacorp.com,+1-555-890-1234,+1-555-890-1235,www.deltacorp.com,addr-028,BP028,Delta Corporation
Customer,contact@epsilontech.com,+1-555-901-2345,+1-555-901-2346,www.epsilontech.com,addr-029,BP029,Epsilon Technologies
Supplier,sales@zetasystems.com,+1-555-012-3456,+1-555-012-3457,www.zetasystems.com,addr-030,BP030,Zeta Systems
Customer,info@etacorp.com,+1-555-123-4567,+1-555-123-4568,www.etacorp.com,addr-031,BP031,Eta Corporation
Supplier,contact@thetainc.com,+1-555-234-5678,+1-555-234-5679,www.thetainc.com,addr-032,BP032,Theta Inc.
Customer,sales@iotaltd.com,+1-555-345-6789,+1-555-345-6790,www.iotaltd.com,addr-033,BP033,Iota Ltd.
