CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY_code,ADDRESS_TYPE,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
New York,10001,Broadway,123,US,Business,2023-01-01,2024-12-31,40.7128,-74.0060
Los Angeles,90001,Sunset Blvd,456,US,Residential,2023-02-15,2025-02-14,34.0522,-118.2437
London,SW1A 1AA,Downing Street,10,GB,Government,2023-03-10,2026-03-09,51.5074,-0.1278
Paris,75001,Champs-Élysées,789,FR,Commercial,2023-04-05,2024-04-04,48.8566,2.3522
Tokyo,100-0001,Ginza,1-1,JP,Shopping,2023-05-20,2025-05-19,35.6762,139.6503
Berlin,10115,Unter den Linden,23,DE,Historical,2023-06-15,2024-06-14,52.5200,13.4050
Sydney,2000,George Street,345,AU,Office,2023-07-01,2025-06-30,-33.8688,151.2093
Toronto,M5H 2N2,Bay Street,567,CA,Financial,2023-08-10,2024-08-09,43.6532,-79.3832
Mumbai,400001,Marine Drive,789,IN,Residential,2023-09-05,2025-09-04,19.0760,72.8777
Dubai,12345,Sheikh Zayed Road,1001,AE,Commercial,2023-10-01,2024-09-30,25.2048,55.2708
Singapore,018956,Orchard Road,234,SG,Shopping,2023-11-15,2025-11-14,1.3521,103.8198
Moscow,101000,Red Square,1,RU,Tourist,2023-12-20,2024-12-19,55.7558,37.6173
Rome,00184,Via del Corso,456,IT,Historical,2024-01-05,2026-01-04,41.9028,12.4964
Amsterdam,1012 JS,Dam Square,78,NL,Cultural,2024-02-10,2025-02-09,52.3676,4.9041
Seoul,04524,Gangnam-daero,123,KR,Entertainment,2024-03-15,2026-03-14,37.5665,126.9780
Madrid,28013,Gran Vía,789,ES,Shopping,2024-04-01,2025-03-31,40.4168,-3.7038
Stockholm,111 29,Drottninggatan,45,SE,Commercial,2024-05-05,2026-05-04,59.3293,18.0686
Vienna,1010,Kärntner Straße,67,AT,Tourist,2024-06-10,2025-06-09,48.2082,16.3738
Hong Kong,999077,Nathan Road,890,HK,Business,2024-07-15,2026-07-14,22.3193,114.1694
São Paulo,01310-200,Avenida Paulista,1234,BR,Financial,2024-08-20,2025-08-19,-23.5505,-46.6333
Bangkok,10330,Sukhumvit Road,567,TH,Residential,2024-09-01,2026-08-31,13.7563,100.5018
Cairo,11511,Tahrir Square,1,EG,Historical,2024-10-05,2025-10-04,30.0444,31.2357
Mexico City,06000,Paseo de la Reforma,789,MX,Business,2024-11-10,2026-11-09,19.4326,-99.1332
Vancouver,V6C 1G8,Robson Street,234,CA,Shopping,2024-12-15,2025-12-14,49.2827,-123.1207
Dublin,D02 R583,Grafton Street,56,IE,Commercial,2025-01-20,2027-01-19,53.3498,-6.2603
Warsaw,00-001,Nowy Świat,78,PL,Cultural,2025-02-25,2026-02-24,52.2297,21.0122
Lisbon,1100-148,Avenida da Liberdade,90,PT,Tourist,2025-03-01,2027-02-28,38.7223,-9.1393
Athens,105 63,Ermou Street,123,GR,Shopping,2025-04-05,2026-04-04,37.9838,23.7275
Oslo,0151,Karl Johans gate,45,NO,Commercial,2025-05-10,2027-05-09,59.9139,10.7522
Helsinki,00100,Aleksanterinkatu,67,FI,Business,2025-06-15,2026-06-14,60.1699,24.9384
Copenhagen,1050,Strøget,89,DK,Shopping,2025-07-20,2027-07-19,55.6761,12.5683
Brussels,1000,Rue Neuve,101,BE,Commercial,2025-08-25,2026-08-24,50.8503,4.3517
Zurich,8001,Bahnhofstrasse,234,CH,Financial,2025-09-01,2027-08-31,47.3769,8.5417
Prague,110 00,Wenceslas Square,56,CZ,Tourist,2025-10-05,2026-10-04,50.0755,14.4378
Budapest,1051,Váci utca,78,HU,Shopping,2025-11-10,2027-11-09,47.4979,19.0402
Buenos Aires,C1004AAB,Avenida 9 de Julio,1234,AR,Business,2025-12-15,2026-12-14,-34.6037,-58.3816
Cape Town,8001,Long Street,90,ZA,Cultural,2026-01-20,2028-01-19,-33.9249,18.4241
Auckland,1010,Queen Street,123,NZ,Commercial,2026-02-25,2027-02-24,-36.8485,174.7633
Kuala Lumpur,50088,Jalan Bukit Bintang,456,MY,Shopping,2026-03-01,2028-02-29,3.1478,101.7068
Jakarta,10110,Jalan Thamrin,789,ID,Business,2026-04-05,2027-04-04,-6.2088,106.8456
Manila,1000,Roxas Boulevard,101,PH,Residential,2026-05-10,2028-05-09,14.5995,120.9842
Taipei,100,Xinyi Road,234,TW,Commercial,2026-06-15,2027-06-14,25.0330,121.5654
Hanoi,100000,Trang Tien Street,56,VN,Cultural,2026-07-20,2028-07-19,21.0285,105.8542
Riyadh,12214,King Fahd Road,78,SA,Business,2026-08-25,2027-08-24,24.7136,46.6753
Tel Aviv,6340101,Rothschild Boulevard,90,IL,Residential,2026-09-01,2028-08-31,32.0853,34.7818
Istanbul,34435,Istiklal Street,123,TR,Shopping,2026-10-05,2027-10-04,41.0082,28.9784
Johannesburg,2000,Nelson Mandela Square,456,ZA,Business,2026-11-10,2028-11-09,-26.2041,28.0473
Lima,15001,Avenida Larco,789,PE,Commercial,2026-12-15,2027-12-14,-12.1464,-77.0228
Nairobi,00100,Kenyatta Avenue,101,KE,Government,2027-01-20,2029-01-19,-1.2921,36.8219
Bogotá,110111,Carrera 7,234,CO,Business,2027-02-25,2028-02-24,4.7110,-74.0721
Casablanca,20000,Boulevard Mohammed V,56,MA,Commercial,2027-03-01,2029-02-28,33.5731,-7.5898
Lagos,101233,Victoria Island,78,NG,Residential,2027-04-05,2028-04-04,6.4550,3.3841
Doha,12345,Corniche Street,90,QA,Tourist,2027-05-10,2029-05-09,25.2854,51.5310
Abu Dhabi,12345,Corniche Road,123,AE,Business,2027-06-15,2028-06-14,24.4539,54.3773
Mascat,100,Sultan Qaboos Street,456,OM,Commercial,2027-07-20,2029-07-19,23.5880,58.3829
Kuwait City,12345,Gulf Road,789,KW,Shopping,2027-08-25,2028-08-24,29.3759,47.9774
Manama,316,Bahrain Bay,101,BH,Business,2027-09-01,2029-08-31,26.2285,50.5860
Baku,1000,Nizami Street,234,AZ,Cultural,2027-10-05,2028-10-04,40.3699,49.8371
Tbilisi,0105,Rustaveli Avenue,56,GE,Tourist,2027-11-10,2029-11-09,41.6938,44.8015
Yerevan,0010,Northern Avenue,78,AM,Shopping,2027-12-15,2028-12-14,40.1872,44.5152
Tashkent,100000,Amir Temur Square,90,UZ,Government,2028-01-20,2030-01-19,41.3117,69.2949
Astana,010000,Nurzhol Boulevard,123,KZ,Business,2028-02-25,2029-02-24,51.1605,71.4704
Ulaanbaatar,14200,Peace Avenue,456,MN,Commercial,2028-03-01,2030-02-28,47.9184,106.9177
Phnom Penh,12000,Sisowath Quay,789,KH,Tourist,2028-04-05,2029-04-04,11.5564,104.9282
Vientiane,01000,Lane Xang Avenue,101,LA,Government,2028-05-10,2030-05-09,17.9757,102.6331
Yangon,11181,Sule Pagoda Road,234,MM,Commercial,2028-06-15,2029-06-14,16.7768,96.1697
Kathmandu,44600,Thamel Marg,56,NP,Tourist,2028-07-20,2030-07-19,27.7172,85.3240
Colombo,00100,Galle Road,78,LK,Business,2028-08-25,2029-08-24,6.9271,79.8612
Dhaka,1000,Gulshan Avenue,90,BD,Residential,2028-09-01,2030-08-31,23.8103,90.4125
Thimphu,11001,Norzin Lam,123,BT,Government,2028-10-05,2029-10-04,27.4712,89.6339
Male,20026,Majeedhee Magu,456,MV,Tourist,2028-11-10,2030-11-09,4.1755,73.5093
Kabul,1001,Darul Aman Road,789,AF,Government,2028-12-15,2029-12-14,34.5553,69.2075
Tehran,1136943111,Valiasr Street,101,IR,Commercial,2029-01-20,2031-01-19,35.6892,51.3890
Baghdad,10001,Haifa Street,234,IQ,Government,2029-02-25,2030-02-24,33.3152,44.3661
Damascus,11311,Straight Street,56,SY,Historical,2029-03-01,2031-02-28,33.5138,36.2765
Amman,11181,Rainbow Street,78,JO,Cultural,2029-04-05,2030-04-04,31.9454,35.9284
Beirut,1107,Hamra Street,90,LB,Shopping,2029-05-10,2031-05-09,33.8938,35.5018
Jerusalem,9100000,Jaffa Road,123,IL,Historical,2029-06-15,2030-06-14,31.7683,35.2137
Nicosia,1066,Ledra Street,456,CY,Commercial,2029-07-20,2031-07-19,35.1856,33.3823
Valletta,VLT 1117,Republic Street,789,MT,Tourist,2029-08-25,2030-08-24,35.8989,14.5146
Reykjavik,101,Laugavegur,101,IS,Shopping,2029-09-01,2031-08-31,64.1265,-21.8174
Luxembourg,1116,Grand Rue,234,LU,Financial,2029-10-05,2030-10-04,49.6116,6.1319
Monaco,98000,Avenue des Spélugues,56,MC,Luxury,2029-11-10,2031-11-09,43.7384,7.4246
Andorra la Vella,AD500,Avinguda Meritxell,78,AD,Shopping,2029-12-15,2030-12-14,42.5063,1.5218
San Marino,47890,Contrada Omerelli,90,SM,Historical,2030-01-20,2032-01-19,43.9424,12.4578
Vatican City,00120,Via della Conciliazione,123,VA,Religious,2030-02-25,2031-02-24,41.9022,12.4539
Vaduz,9490,Städtle,456,LI,Government,2030-03-01,2032-02-29,47.1410,9.5209
Bern,3011,Kramgasse,789,CH,Historical,2030-04-05,2031-04-04,46.9480,7.4474
Ljubljana,1000,Prešernov trg,101,SI,Cultural,2030-05-10,2032-05-09,46.0569,14.5058
